keys,en,de
Text/11/text,There is nothing special in the trash can.,In der Mülltonne ist nichts besonderes.
Text/12/text,"„Hey, there is something behind it!""","„Hey, da ist etwas dahinter!"""
Text/13/text,"„The sound comes from outside.""","„Das Geräusch scheint nicht aus dem Gebäude zu kommen."""
Text/14/text,The gate is locked.,Das Tor ist verschlossen.
Text/15/text,"„The noise doesn't seem to come from there anyway.""","„Das Geräusch scheint aber auch nicht von dort zu kommen."""
Text/16/text,"„She should be at home. I prefer to give it to her personally.""","„Sie sollte zuhause sein. Ich gebe es ihr lieber persönlich."""
Text/17/text,"„The sound is not coming from here.""","„Das Geräusch kommt nicht von hier."""
Text/18/text,"„Sorry phone, can't talk now, I've got places to be!""","„Tut mir leid, Telefon, ich kann jetzt nicht reden, ich muss wohin!"""
Text/19/text,....,...
Text/1a/text,"„I have no time!""","„Ich habe keine Zeit!"""
Text/1b/text,"„Okay, okay...""","„Okay, okay..."""
Text/1c/text,"„Hey, I'm in a hurry. Just a moment.""","„Hey, ich hab's eilig. Nur einen Moment.."""
Text/1d/text,I'm on the phone with my best friend. We wanted to go for a walk in the city today and talk a bit.,Ich telefoniere mit meiner besten Freundin. Wir wollten heute in der Stadt spazieren gehen und ein bisschen reden.
Text/1e/text,"As I leave the apartment complex, I hear a strange noise.","Als ich den Wohnkomplex verlasse, höre ich ein seltsames Geräusch."
Text/1f/text,"„I'm sorry, but I can't make it today. I just received a surprise visit from my parents. We will have to postpone our walk until next time.""","„Es tut mir leid, aber ich kann heute nicht kommen. Ich habe gerade einen Überraschungsbesuch von meinen Eltern bekommen. Wir werden unseren Spaziergang auf das nächste Mal verschieben müssen."""
Text/20/text,I bite my lip. This is the third time now that she has canceled. I want to say something... but we're best friends!,"Ich beiße mir auf die Lippe. Das ist jetzt schon das dritte Mal, dass sie abgesagt hat. Ich möchte etwas sagen... aber wir sind beste Freunde!"
Choice/21/text,But I have to say something!,Aber ich muss etwas sagen!
Choice/21/disabled_text,,
Text/22/text,"„Uh, do you know...""","„Weißt du…"""
Text/23/text,"„Yes, I'll be right there! What's the matter, {mc}?""","„Ja, ich bin gleich da! Was ist los, {mc}?""„"
Text/24/text,I sigh softly and shake my head.,Ich seufze leise und schüttle den Kopf.
Text/25/text,"„No, no... all good.""","""Nein, nein... alles gut."""
Choice/26/text,I choose to remain silent.,Ich ziehe es vor zu schweigen.
Choice/26/disabled_text,,
Text/27/text,"„I'm really sorry, but tomorrow is definitely the day!""","""Es tut mir wirklich leid, aber morgen ist definitiv der Tag!""„"
Text/28/text,"I hear that she's sorry, but still hesitate. Tomorrow, I was actually planning to take a break and have some time for myself...",
Text/29/text,"„Alright then, see you tomorrow!""",
Text/2a/text,"„Yes, tomorrow then. Have a good day!""",
Text/2b/text,I feel a bit frustrated.,
Text/2c/text,"The strange noise doesn't improve my mood, and I turn in the direction it's coming from.",
Text/2d/text,"„What's that noise?""",
Text/2e/text,"„What is that?""",
Text/2f/text,"After taking a few steps towards the package and examining it more closely, I discover that it's ripped open and contains a gift. After carefully examining the package, I'm able to decipher the address and recipient name.",
Text/30/text,"„Oh, Ak…b..n... oh, this is surely for Miu Akoban, my neighbor. Since now I have nothing to do today, I can bring it to her right away.""",
Text/31/text,"I pick up the package and set off. I'm sure I can bring some joy to my neighbor. After the breakup with her ex, he seemed to retaliate with childish behavior by not delivering her mail properly.",
Text/32/text,"„Hello {mc}, nice to see you. Since when do you deliver packages?“",
Text/33/text,I notice how she glances at the package and is visibly surprised.,
Text/34/text,"As soon as we make brief eye contact, she turns away quickly and looks at the package.",
Text/35/text,„... uhm“,
Text/36/text,"„Hi Miu, the package is for you. It was by the trash can...“",
Text/37/text,I explain slowly and see how she hesitantly approaches. She takes the package and looks at the address before shaking her head and peering inside.,
Text/38/text,"„That's not mine. I think it belongs to Mr. Akuban. He moved away quite some time ago, and there have been mix-ups with our last names before.“",
Text/39/text,"I nod slowly in understanding and have to strain myself to continue listening to her.
She always speaks a little quieter than the others.",
Text/3a/text,„Then maybe you can bring it to him? I don't know him...“,
Text/3b/text,Miu shakes her head.,
Text/3c/text,"„I'd like to, but I don't know anything more than his last name. But it would be a shame if he didn't get his package today...""",
Text/3d/text,„I heard his wife left him... Maybe I shouldn't go to the birthday party today and try to find him instead..“,
Choice/3e/text,"I could take care of it. After all, I don't have anything planned",
Choice/3e/disabled_text,,
Choice/3f/text,I don't actually plan on delivering the package,
Choice/3f/disabled_text,,
Text/40/text,I slowly withdraw.,
Text/41/text,"„Miu, I have to go now.“",
Text/42/text,"„O- o- of course, see you later, {mc}.“",
Text/43/text,"I see Miu meekly lift her hand, take out her phone and start typing. She's clearly down, and I feel very guilty.",
Text/44/text,I turn around and clench my fists. Miu has been through enough.,
Text/45/text,She should think of herself today.,
Text/46/text,"I turn around and walk towards Miu, who blinks in surprise.",
Text/47/text,"„Leave it to me. I have nothing planned today anyway, and if he's that well-known, it should be possible to find him quickly.“",
Text/48/text,Miu beams from ear to ear.,
Text/49/text,"„Thank you so much, {mc}.“",
Text/4a/text,"„I don't know where he lives, but I heard an old friend of his sells cars on Lessing Street. Maybe he can help you.“",
Text/4b/text,„But is this really okay for you?“,
Text/4c/text,"„Yes, of course. I'm going right now.“",
Text/4d/text,"I take the package back and feel her touch my arm gently. I look up at her, and she quickly withdraws her hand.",
Text/4e/text,„I'm sorry for burdening you with this. I know you're busy too.“,
Text/4f/text,I smile gratefully and walk away.,
Text/50/text,It's been always clear to me that Miu is a very attentive person. That's why I don't want to burden her with anything more.,
Text/51/text,"She's always considerate of others, and today she deserves to have a nice day. Actually, I can't take much off her plate, even though she's always so accommodating as a neighbor.",
Text/52/text,"Delivering a package is an easy task, after all.",
Text/53/text,"As soon as I arrive, I spot a few cars that are clearly not in my price range. Nonetheless, I can't take my eyes off some of them.
The package is getting heavier and I wonder if I should put it down.",
Choice/54/text,I put down the package,
Choice/54/disabled_text,,
Text/55/text,"As soon as I put it down, I feel somewhat relieved and stretch a bit.",
Choice/56/text,I keep the package in my arms,
Choice/56/disabled_text,,
Text/57/text,I decide to continue carrying the package to prevent myself or someone else from tripping over it.,
Text/58/text,"„Welcome to Autohaus KING, where we make driving a real experience.“",
Text/59/text,"I jump as the salesman suddenly walks past me and stands in front of me. In doing so, he trips over the package. After a brief stumble, he regains his balance and starts talking.",
Text/5a/text,I pick up the package again and notice that the salesman is making sure he is visible.,
Text/5b/text,I jump as the salesman suddenly walks past me and stands in front of me. He makes sure the package does not cover him too much.,
Text/5c/text,"„I'm Carson Colinski, your man today. I'm not just any salesman. I'm your friend who wants to offer you only the best of the best.“",
Text/5d/text,"I am about to say something, but the salesman is already pointing at a red sports car.",
Text/5e/text,"„That is your car, the latest model that you can pay for in installments. But wait, I can see that's not your thing. But don't worry, I'll find the perfect car for you.“",
Text/5f/text,"I open my mouth to say something, but he interrupts me right away.",
Text/60/text,„These days there are so many cars and uncertainties. You clearly belong to the kind of people who want it a little safer. Just follow me..“,
Text/61/text,"I follow him reluctantly, but I don't want to be rude either. This is at least my chance to say something!",
Text/62/text,„I am actually here because of the package. It's for a Mr. Akuban.“,
Text/63/text,"„Of course, you are a delivery person. Then I have the perfect vehicle for you.“",
Text/64/text,I sigh quietly and clear my throat. This can't be true! I just want to deliver the package!,
